id,scientific_name,common_name,image_url,attribution,taxa_url
125390,Amanita bisporigera,Eastern North American Destroying Angel,https://inaturalist-open-data.s3.amazonaws.com/photos/158303/medium.jpg,"(c) Kathie Hodge, some rights reserved (CC BY-NC-SA)",https://www.inaturalist.org/taxa/125390
58692,Amanita brunnescens,Brown American Star-footed Amanita,https://inaturalist-open-data.s3.amazonaws.com/photos/91170653/medium.jpg,"(c) CDance, some rights reserved (CC BY-NC), uploaded by CDance",https://www.inaturalist.org/taxa/58692
125389,Amanita flavoconia,Yellow Patches,https://inaturalist-open-data.s3.amazonaws.com/photos/91430720/medium.jpeg,"(c) Ludo Leclerc, some rights reserved (CC BY-NC), uploaded by Ludo Leclerc",https://www.inaturalist.org/taxa/125389
63027,Amanita fulva,Tawny Grisette,https://inaturalist-open-data.s3.amazonaws.com/photos/139544629/medium.jpg,"(c) clicque, some rights reserved (CC BY-NC), uploaded by clicque",https://www.inaturalist.org/taxa/63027
773499,Amanita rhacopus,Shaggy Legged Ringless Amanita,https://inaturalist-open-data.s3.amazonaws.com/photos/159619776/medium.jpeg,"(c) Roxanne Bogart, some rights reserved (CC BY-NC), uploaded by Roxanne Bogart",https://www.inaturalist.org/taxa/773499
67661,Amanita rubescens,blusher,https://inaturalist-open-data.s3.amazonaws.com/photos/161000598/medium.jpg,"(c) Federico Calledda, some rights reserved (CC BY-NC), uploaded by Federico Calledda",https://www.inaturalist.org/taxa/67661
334704,Artomyces pyxidatus,crown-tipped coral fungus,https://inaturalist-open-data.s3.amazonaws.com/photos/24343731/medium.jpeg,"(c) Adam Bryant, some rights reserved (CC BY-NC), uploaded by Adam Bryant",https://www.inaturalist.org/taxa/334704
122329,Chlorociboria aeruginascens,Green Wood Cup,https://inaturalist-open-data.s3.amazonaws.com/photos/32471764/medium.jpg,"(c) Vladimir Bryukhov, some rights reserved (CC BY-NC), uploaded by Vladimir Bryukhov",https://www.inaturalist.org/taxa/122329
1275362,Collybiopsis subnuda,N/A,https://inaturalist-open-data.s3.amazonaws.com/photos/13084449/medium.jpeg,"(c) mycowalt, some rights reserved (CC BY-SA), uploaded by mycowalt",https://www.inaturalist.org/taxa/1275362
118034,Coltricia perennis,Brown Funnel Polypore,https://inaturalist-open-data.s3.amazonaws.com/photos/177910594/medium.jpeg,"(c) Степанова Ксения, some rights reserved (CC BY-NC), uploaded by Степанова Ксения",https://www.inaturalist.org/taxa/118034
125363,Cortinarius corrugatus,wrinkled cortinarius,https://inaturalist-open-data.s3.amazonaws.com/photos/87032/medium.jpg,"(c) Jason Hollinger, some rights reserved (CC BY)",https://www.inaturalist.org/taxa/125363
782233,Craterellus ignicolor,flame trumpet,https://inaturalist-open-data.s3.amazonaws.com/photos/237766344/medium.jpg,"(c) Keara R. Giannotti, some rights reserved (CC BY-NC), uploaded by Keara R. Giannotti",https://www.inaturalist.org/taxa/782233
350515,Crepidotus calolepis,N/A,https://inaturalist-open-data.s3.amazonaws.com/photos/24572233/medium.jpeg,"(c) pinonbistro, some rights reserved (CC BY-SA), uploaded by pinonbistro",https://www.inaturalist.org/taxa/350515
379777,Cyptotrama chrysopepla,golden coincap,https://inaturalist-open-data.s3.amazonaws.com/photos/24568999/medium.jpeg,"(c) pinonbistro, some rights reserved (CC BY-SA), uploaded by pinonbistro",https://www.inaturalist.org/taxa/379777
118028,Dacrymyces chrysospermus,Orange Jelly Spot,https://inaturalist-open-data.s3.amazonaws.com/photos/2339659/medium.jpg,"(c) Amadej Trnkoczy, some rights reserved (CC BY-NC-SA)",https://www.inaturalist.org/taxa/118028
881500,Diatrype decorticata,N/A,https://inaturalist-open-data.s3.amazonaws.com/photos/95984964/medium.jpeg,"(c) John Plischke, some rights reserved (CC BY-NC), uploaded by John Plischke",https://www.inaturalist.org/taxa/881500
127510,Fomes fomentarius,Hoof Fungus,https://inaturalist-open-data.s3.amazonaws.com/photos/11787994/medium.jpeg,"(c) Vladimir Travkin, some rights reserved (CC BY-NC), uploaded by Vladimir Travkin",https://www.inaturalist.org/taxa/127510
877361,Fomitopsis mounceae,Northern Red Belt,https://inaturalist-open-data.s3.amazonaws.com/photos/215836404/medium.jpg,"(c) Claire O'Neill, some rights reserved (CC BY-NC), uploaded by Claire O'Neill",https://www.inaturalist.org/taxa/877361
48473,Ganoderma applanatum,artist's bracket,https://inaturalist-open-data.s3.amazonaws.com/photos/87978650/medium.jpeg,"(c) eventupa, some rights reserved (CC BY-NC), uploaded by eventupa",https://www.inaturalist.org/taxa/48473
63274,Ganoderma tsugae,hemlock varnish shelf,https://inaturalist-open-data.s3.amazonaws.com/photos/20032392/medium.jpeg,"(c) smoore13, some rights reserved (CC BY-NC)",https://www.inaturalist.org/taxa/63274
202418,Gloeoporus dichrous,bicoloured bracket,https://inaturalist-open-data.s3.amazonaws.com/photos/28037451/medium.jpg,"(c) Leah Bendlin, some rights reserved (CC BY-NC), uploaded by Leah Bendlin",https://www.inaturalist.org/taxa/202418
1116537,Gyroporus borealis,N/A,https://inaturalist-open-data.s3.amazonaws.com/photos/22423670/medium.jpg,"(c) tombigelow, some rights reserved (CC BY-NC), uploaded by tombigelow",https://www.inaturalist.org/taxa/1116537
979413,Jackrogersella cohaerens,Beechwood Woodwart,https://inaturalist-open-data.s3.amazonaws.com/photos/58113409/medium.jpg,"(c) Amadej Trnkoczy, some rights reserved (CC BY-NC-SA)",https://www.inaturalist.org/taxa/979413
499629,Lactarius atroviridis,dark-spotted milkcap,https://inaturalist-open-data.s3.amazonaws.com/photos/4133337/medium.,"(c) Christian Schwarz, some rights reserved (CC BY-NC), uploaded by Christian Schwarz",https://www.inaturalist.org/taxa/499629
125689,Lactarius camphoratus,Curry Milkcap,https://inaturalist-open-data.s3.amazonaws.com/photos/109469768/medium.jpg,"(c) Federico Calledda, some rights reserved (CC BY-NC), uploaded by Federico Calledda",https://www.inaturalist.org/taxa/125689
351319,Lactifluus gerardii,N/A,https://inaturalist-open-data.s3.amazonaws.com/photos/21925917/medium.jpeg,"(c) Ron Hilton, some rights reserved (CC BY-NC), uploaded by Ron Hilton",https://www.inaturalist.org/taxa/351319
351324,Lactifluus vellereus,Fleecy Milkcap,https://inaturalist-open-data.s3.amazonaws.com/photos/19470/medium.jpg,"(c) Amadej Trnkoczy, some rights reserved (CC BY-NC-SA)",https://www.inaturalist.org/taxa/351324
526350,Leccinellum albellum,N/A,https://inaturalist-open-data.s3.amazonaws.com/photos/22819922/medium.jpg,"(c) tombigelow, some rights reserved (CC BY-NC), uploaded by tombigelow",https://www.inaturalist.org/taxa/526350
63100,Marasmius rotula,collared parachute,https://inaturalist-open-data.s3.amazonaws.com/photos/9128261/medium.jpeg,"(c) Bill Sheehan, some rights reserved (CC BY-SA), uploaded by Bill Sheehan",https://www.inaturalist.org/taxa/63100
488500,Megacollybia rodmanii,Eastern American Platterful Mushroom,https://static.inaturalist.org/photos/77360298/medium.jpeg,"(c) Dana, all rights reserved, uploaded by Dana",https://www.inaturalist.org/taxa/488500
