id,scientific_name,common_name,image_url,attribution,taxa_url
67594,Flammulina velutipes,Velvet Foot,https://live.staticflickr.com/65535/15579021022_9df44886a8_b.jpg,https://www.flickr.com/photos/19369983@N06/,https://www.mycoquebec.org/bas.php?tag=Flammulina+velutipes&iumq=739
125705,Trichaptum biforme,violet-toothed polypore,https://live.staticflickr.com/65535/52385888170_44b9d9e24e_b.jpg,https://www.flickr.com/photos/27441280@N06/,https://www.mycoquebec.org/bas.php?tag=Trichaptum+biforme&iumq=2498
196842,Stereum complicatum,crowded parchment,https://live.staticflickr.com/65535/52420857059_1349b70d2f_b.jpg,https://www.flickr.com/photos/133869288@N03/,https://www.mycoquebec.org/bas.php?tag=Stereum+complicatum&iumq=2403
48494,Pleurotus ostreatus,Oyster Mushroom,https://live.staticflickr.com/65535/10562788136_1450ce3644_b.jpg,https://www.flickr.com/photos/19369983@N06/,https://www.mycoquebec.org/bas.php?tag=Pleurotus+ostreatus&iumq=1913
124102,Daedaleopsis confragosa,Thin-walled Maze Polypore,https://live.staticflickr.com/65535/52372159001_2b1856b498_b.jpg,https://www.flickr.com/photos/27441280@N06/,https://www.mycoquebec.org/bas.php?tag=Daedaleopsis+confragosa&iumq=663
194476,Cerrena unicolor,Mossy Maze Polypore,https://live.staticflickr.com/4236/34994809194_900e67f4fa_b.jpg,https://www.flickr.com/photos/8195287@N05/,https://www.mycoquebec.org/bas.php?tag=Cerrena+unicolor&iumq=241
54134,Trametes versicolor,turkey-tail,https://live.staticflickr.com/2700/4249130578_0462147f15_b.jpg,https://www.flickr.com/photos/22788577@N07/,https://www.mycoquebec.org/bas.php?tag=Trametes+versicolor&iumq=2480
54164,Pseudohydnum gelatinosum,Toothed Jelly Fungus,https://live.staticflickr.com/65535/52981225424_b4b85f4a41_b.jpg,https://www.flickr.com/photos/19369983@N06/,https://www.mycoquebec.org/bas.php?tag=Pseudohydnum+gelatinosum&iumq=2061
118028,Dacrymyces chrysospermus,Orange Jelly Spot,https://live.staticflickr.com/3663/3376155282_0b15592ba1_b.jpg,https://www.flickr.com/photos/31727756@N05/,https://www.mycoquebec.org/bas.php?tag=Dacrymyces+chrysospermus&iumq=655
877361,Fomitopsis mounceae,Northern Red Belt,https://live.staticflickr.com/65535/52903151427_71ec7ebe31_b.jpg,https://www.flickr.com/photos/133869288@N03/,https://www.mycoquebec.org/bas.php?tag=Fomitopsis+mounceae&iumq=747
508778,Fomes fomentarius,Tinder Polypore,https://live.staticflickr.com/65535/52366044984_17d54b4c12_b.jpg,https://www.flickr.com/photos/27441280@N06/,https://www.mycoquebec.org/bas.php?tag=Fomes+fomentarius&iumq=741
127021,Inonotus obliquus,chaga,https://live.staticflickr.com/5069/5783581224_47bf7f66fa_b.jpg,https://www.flickr.com/photos/8195287@N05/,https://www.mycoquebec.org/bas.php?tag=Inonotus+obliquus&iumq=3051
53713,Laetiporus sulphureus,chicken of the woods,https://live.staticflickr.com/4114/4756035308_0260182212_b.jpg,https://www.flickr.com/photos/22196144@N06/,https://www.mycoquebec.org/bas.php?tag=Laetiporus+sulphureus&iumq=1363
63274,Ganoderma tsugae,hemlock varnish shelf,https://live.staticflickr.com/65535/7510643048_b57d8c38e8_b.jpg,https://www.flickr.com/photos/19369983@N06/,https://www.mycoquebec.org/bas.php?tag=Ganoderma+tsugae&iumq=808
1537057,Fomitopsis cajanderi,Rosy Conk,https://live.staticflickr.com/2607/4014372425_ba0d60bebb_b.jpg,https://www.flickr.com/photos/31727756@N05/,https://www.mycoquebec.org/bas.php?tag=Fomitopsis+cajanderi+&iumq=745
68309,Panellus stipticus,Luminescent Panellus,https://live.staticflickr.com/8895/18628106126_8899599489_b.jpg,https://www.flickr.com/photos/21189203@N05/,https://www.mycoquebec.org/bas.php?tag=Panellus+stipticus&iumq=1773
